id|year|title|genres|original_language|productions_companies|overview|tagline|budget|revenue
41630|2011|No Strings Attached|Comedy, Romance|en|Katalyst Films|Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?|Friendship has its benefits.|25000000.0|147780440.0
49530|2011|In Time|Action, Thriller, Science Fiction|en|Strike Entertainment|In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.|Time Is Power|40000000.0|173930596.0
59436|2011|Midnight in Paris|Fantasy, Comedy, Romance|en|Pontchartrain Productions|A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.||30000000.0|151119219.0
60308|2011|Moneyball|Drama|en|Columbia Pictures|The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.|What are you really worth?|50000000.0|110206216.0
50646|2011|Crazy, Stupid, Love.|Comedy, Drama, Romance|en|Warner Bros. Pictures|Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.|This is crazy. This is stupid. This is love.|50000000.0|142851197.0
45243|2011|The Hangover Part II|Comedy|en|Legendary Entertainment|The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.|The Wolfpack Is Back|80000000.0|254455986.0
51540|2011|Horrible Bosses|Comedy, Crime|en|New Line Cinema|For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.|Ever wish your boss was dead?|35000000.0|209600000.0
49444|2011|Kung Fu Panda 2|Animation, Family|en|DreamWorks Animation|Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.|Prepare for the Year of Awesomeness!|150000000.0|665692281.0
71676|2011|Ghost Rider: Spirit of Vengeance|Action, Fantasy, Thriller|en|Columbia Pictures|When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.|He Rides Again.|57000000.0|132563930.0
49849|2011|Cowboys & Aliens|Action, Science Fiction, Thriller, Western|en|Universal Pictures|A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.|First Contact. Last Stand.|163000000.0|174822325.0
55301|2011|Alvin and the Chipmunks: Chipwrecked|Comedy, Fantasy, Family, Music, Animation|en|Fox 2000 Pictures|Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.|This holiday it's gonna get squeaky.|75000000.0|342695435.0
